composer;type;dataset;wav_filename;start;end;duration;sample_rate
Bach;orchestra;Bach10;Bach10/05-DieNacht/05-DieNacht-violin.wav;-1.0;-1.0;35.80780045351474;44100.0
Bach;orchestra;Bach10;Bach10/02-AchLiebenChristen/02-AchLiebenChristen-saxphone.wav;-1.0;-1.0;40.535873015873015;44100.0
Bach;orchestra;Bach10;Bach10/02-AchLiebenChristen/02-AchLiebenChristen-bassoon.wav;-1.0;-1.0;40.535873015873015;44100.0
Bach;orchestra;Bach10;Bach10/02-AchLiebenChristen/02-AchLiebenChristen-clarinet.wav;-1.0;-1.0;40.535873015873015;44100.0
Bach;orchestra;Bach10;Bach10/06-DieSonne/06-DieSonne-clarinet.wav;-1.0;-1.0;33.28675736961451;44100.0
Bach;orchestra;Bach10;Bach10/06-DieSonne/06-DieSonne-bassoon.wav;-1.0;-1.0;33.28675736961451;44100.0
Bach;orchestra;Bach10;Bach10/06-DieSonne/06-DieSonne.wav;-1.0;-1.0;33.28675736961451;44100.0
Bach;orchestra;Bach10;Bach10/06-DieSonne/06-DieSonne-saxphone.wav;-1.0;-1.0;33.28675736961451;44100.0
Bach;orchestra;Bach10;Bach10/06-DieSonne/06-DieSonne-violin.wav;-1.0;-1.0;33.28675736961451;44100.0
Bach;orchestra;Bach10;Bach10/08-FuerDeinenThron/08-FuerDeinenThron-saxphone.wav;-1.0;-1.0;33.23877551020408;44100.0
Bach;orchestra;Bach10;Bach10/08-FuerDeinenThron/08-FuerDeinenThron-violin.wav;-1.0;-1.0;33.23877551020408;44100.0
Bach;orchestra;Bach10;Bach10/08-FuerDeinenThron/08-FuerDeinenThron-clarinet.wav;-1.0;-1.0;33.23877551020408;44100.0
Bach;orchestra;Bach10;Bach10/08-FuerDeinenThron/08-FuerDeinenThron-bassoon.wav;-1.0;-1.0;33.23877551020408;44100.0
Bach;orchestra;Bach10;Bach10/08-FuerDeinenThron/08-FuerDeinenThron.wav;-1.0;-1.0;33.23877551020408;44100.0
Bach;orchestra;Bach10;Bach10/04-ChristeDuBeistand/04-ChristeDuBeistand-saxphone.wav;-1.0;-1.0;41.66514739229025;44100.0
Bach;orchestra;Bach10;Bach10/04-ChristeDuBeistand/04-ChristeDuBeistand-bassoon.wav;-1.0;-1.0;41.66514739229025;44100.0
Bach;orchestra;Bach10;Bach10/04-ChristeDuBeistand/04-ChristeDuBeistand-clarinet.wav;-1.0;-1.0;41.66514739229025;44100.0
Bach;orchestra;Bach10;Bach10/04-ChristeDuBeistand/04-ChristeDuBeistand-violin.wav;-1.0;-1.0;41.66514739229025;44100.0
Bach;orchestra;Bach10;Bach10/04-ChristeDuBeistand/04-ChristeDuBeistand.wav;-1.0;-1.0;41.66514739229025;44100.0
Bach;orchestra;Bach10;Bach10/01-AchGottundHerr/01-AchGottundHerr-saxphone.wav;-1.0;-1.0;25.226643990929706;44100.0
Bach;orchestra;Bach10;Bach10/01-AchGottundHerr/01-AchGottundHerr-bassoon.wav;-1.0;-1.0;25.226643990929706;44100.0
Bach;orchestra;Bach10;Bach10/01-AchGottundHerr/01-AchGottundHerr.wav;-1.0;-1.0;25.226643990929706;44100.0
Bach;orchestra;Bach10;Bach10/02-AchLiebenChristen/02-AchLiebenChristen-violin.wav;-1.0;-1.0;40.535873015873015;44100.0
Bach;orchestra;Bach10;Bach10/02-AchLiebenChristen/02-AchLiebenChristen.wav;-1.0;-1.0;40.535873015873015;44100.0
Bach;orchestra;Bach10;Bach10/09-Jesus/09-Jesus-bassoon.wav;-1.0;-1.0;29.355374149659863;44100.0
Bach;orchestra;Bach10;Bach10/09-Jesus/09-Jesus-saxphone.wav;-1.0;-1.0;29.355374149659863;44100.0
Bach;orchestra;Bach10;Bach10/05-DieNacht/05-DieNacht-clarinet.wav;-1.0;-1.0;35.80780045351474;44100.0
Bach;orchestra;Bach10;Bach10/05-DieNacht/05-DieNacht.wav;-1.0;-1.0;35.80780045351474;44100.0
Bach;orchestra;Bach10;Bach10/05-DieNacht/05-DieNacht-saxphone.wav;-1.0;-1.0;35.80780045351474;44100.0
Bach;orchestra;Bach10;Bach10/05-DieNacht/05-DieNacht-bassoon.wav;-1.0;-1.0;35.80780045351474;44100.0
Bach;orchestra;Bach10;Bach10/03-ChristederdubistTagundLicht/03-ChristederdubistTagundLicht-saxphone.wav;-1.0;-1.0;25.363333333333333;44100.0
Bach;orchestra;Bach10;Bach10/03-ChristederdubistTagundLicht/03-ChristederdubistTagundLicht-bassoon.wav;-1.0;-1.0;25.363333333333333;44100.0
Bach;orchestra;Bach10;Bach10/03-ChristederdubistTagundLicht/03-ChristederdubistTagundLicht.wav;-1.0;-1.0;25.363333333333333;44100.0
Bach;orchestra;Bach10;Bach10/03-ChristederdubistTagundLicht/03-ChristederdubistTagundLicht-clarinet.wav;-1.0;-1.0;25.363333333333333;44100.0
Bach;orchestra;Bach10;Bach10/03-ChristederdubistTagundLicht/03-ChristederdubistTagundLicht-violin.wav;-1.0;-1.0;25.363333333333333;44100.0
Bach;orchestra;Bach10;Bach10/07-HerrGott/07-HerrGott-violin.wav;-1.0;-1.0;32.566371882086166;44100.0
Bach;orchestra;Bach10;Bach10/01-AchGottundHerr/01-AchGottundHerr-violin.wav;-1.0;-1.0;25.226643990929706;44100.0
Bach;orchestra;Bach10;Bach10/07-HerrGott/07-HerrGott-bassoon.wav;-1.0;-1.0;32.566371882086166;44100.0
Bach;orchestra;Bach10;Bach10/07-HerrGott/07-HerrGott-clarinet.wav;-1.0;-1.0;32.566371882086166;44100.0
Bach;orchestra;Bach10;Bach10/07-HerrGott/07-HerrGott-saxphone.wav;-1.0;-1.0;32.566371882086166;44100.0
Bach;orchestra;Bach10;Bach10/10-NunBitten/10-NunBitten-violin.wav;-1.0;-1.0;37.39122448979592;44100.0
Bach;orchestra;Bach10;Bach10/10-NunBitten/10-NunBitten.wav;-1.0;-1.0;37.39122448979592;44100.0
Bach;orchestra;Bach10;Bach10/10-NunBitten/10-NunBitten-clarinet.wav;-1.0;-1.0;37.39122448979592;44100.0
Bach;orchestra;Bach10;Bach10/10-NunBitten/10-NunBitten-bassoon.wav;-1.0;-1.0;37.39122448979592;44100.0
Bach;orchestra;Bach10;Bach10/10-NunBitten/10-NunBitten-saxphone.wav;-1.0;-1.0;37.39122448979592;44100.0
Bach;orchestra;Bach10;Bach10/09-Jesus/09-Jesus-clarinet.wav;-1.0;-1.0;29.355374149659863;44100.0
Bach;orchestra;Bach10;Bach10/09-Jesus/09-Jesus.wav;-1.0;-1.0;29.355374149659863;44100.0
Bach;orchestra;Bach10;Bach10/09-Jesus/09-Jesus-violin.wav;-1.0;-1.0;29.355374149659863;44100.0
Bach;orchestra;Bach10;Bach10/07-HerrGott/07-HerrGott.wav;-1.0;-1.0;32.566371882086166;44100.0
Bach;orchestra;Bach10;Bach10/01-AchGottundHerr/01-AchGottundHerr-clarinet.wav;-1.0;-1.0;25.226643990929706;44100.0
