composer;type;dataset;wav_filename;start;end;duration;sample_rate
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S5-II-ex3.wav;-1.0;-1.0;24.789727891156463;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S7-II-ex2.wav;-1.0;-1.0;27.89358276643991;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S3-I-ex6.wav;-1.0;-1.0;28.788027210884355;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S5-II-ex3.wav;-1.0;-1.0;24.789727891156463;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S5-II-ex1.wav;-1.0;-1.0;28.703809523809525;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S5-II-ex2.wav;-1.0;-1.0;21.378684807256235;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S3-I-ex3.wav;-1.0;-1.0;19.739115646258504;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S3-I-ex1.wav;-1.0;-1.0;12.589251700680272;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S9-II-ex3.wav;-1.0;-1.0;10.057641723356008;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S9-II-ex2.wav;-1.0;-1.0;22.63861678004535;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S9-II-ex1.wav;-1.0;-1.0;17.105873015873016;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S5-I-ex1.wav;-1.0;-1.0;23.139931972789114;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S3-I-ex5.wav;-1.0;-1.0;19.733650793650792;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S3-I-ex5.wav;-1.0;-1.0;19.733650793650792;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S7-II-ex2.wav;-1.0;-1.0;27.89358276643991;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S3-I-ex2.wav;-1.0;-1.0;10.282879818594104;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S3-I-ex2.wav;-1.0;-1.0;10.282879818594104;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S3-I-ex3.wav;-1.0;-1.0;19.739115646258504;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S5-II-ex1.wav;-1.0;-1.0;28.703809523809525;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S3-I-ex6.wav;-1.0;-1.0;28.788027210884355;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S9-II-ex1.wav;-1.0;-1.0;17.105873015873016;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/stereo/Beethoven-S9-II-ex3.wav;-1.0;-1.0;10.057641723356008;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S5-II-ex2.wav;-1.0;-1.0;21.378684807256235;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S5-I-ex1.wav;-1.0;-1.0;23.139931972789114;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S3-I-ex1.wav;-1.0;-1.0;12.589251700680272;44100.0
Beethoven;orchestra;OrchSet;OrchSet/audio/mono/Beethoven-S9-II-ex2.wav;-1.0;-1.0;22.63861678004535;44100.0
Brahms;orchestra;OrchSet;OrchSet/audio/mono/Brahms-S3-III-ex2.wav;-1.0;-1.0;23.542630385487527;44100.0
Brahms;orchestra;OrchSet;OrchSet/audio/stereo/Brahms-HungarianDance-n5-ex1.wav;-1.0;-1.0;27.67419501133787;44100.0
Brahms;orchestra;OrchSet;OrchSet/audio/mono/Brahms-S3-III-ex3.wav;-1.0;-1.0;32.40668934240363;44100.0
Brahms;orchestra;OrchSet;OrchSet/audio/mono/Brahms-HungarianDance-n5-ex1.wav;-1.0;-1.0;27.67419501133787;44100.0
Brahms;orchestra;OrchSet;OrchSet/audio/stereo/Brahms-S3-III-ex2.wav;-1.0;-1.0;23.542630385487527;44100.0
Brahms;orchestra;OrchSet;OrchSet/audio/stereo/Brahms-S3-III-ex3.wav;-1.0;-1.0;32.40668934240363;44100.0
Brahms;orchestra;OrchSet;OrchSet/audio/stereo/Brahms-S3-III-ex1.wav;-1.0;-1.0;32.64063492063492;44100.0
Brahms;orchestra;OrchSet;OrchSet/audio/mono/Brahms-S3-III-ex1.wav;-1.0;-1.0;32.64063492063492;44100.0
Dvorak;orchestra;OrchSet;OrchSet/audio/stereo/Dvorak-S9-IV-ex4.wav;-1.0;-1.0;23.80156462585034;44100.0
Dvorak;orchestra;OrchSet;OrchSet/audio/stereo/Dvorak-S9-IV-ex5.wav;-1.0;-1.0;27.36501133786848;44100.0
Dvorak;orchestra;OrchSet;OrchSet/audio/mono/Dvorak-S9-IV-ex1.wav;-1.0;-1.0;26.737755102040815;44100.0
