composer;type;dataset;wav_filename;start;end;duration;sample_rate
Haydn;orchestra;RWC;RWC/RM-C001.wav;-1.0;-1.0;504.1734240362812;22050.0
Mozart;orchestra;RWC;RWC/RM-C002.wav;-1.0;-1.0;459.7734240362812;22050.0
Beethoven;orchestra;RWC;RWC/RM-C003.wav;-1.0;-1.0;435.7467573696145;22050.0
Tchaikovsky;orchestra;RWC;RWC/RM-C004.wav;-1.0;-1.0;592.7734240362812;22050.0
Mozart;orchestra;RWC;RWC/RM-C005.wav;-1.0;-1.0;606.4400907029478;22050.0
Bach;orchestra;RWC;RWC/RM-C007.wav;-1.0;-1.0;601.5600907029478;22050.0
Mozart;orchestra;RWC;RWC/RM-C008.wav;-1.0;-1.0;255.00009070294786;22050.0
Wagner;orchestra;RWC;RWC/RM-C009.wav;-1.0;-1.0;1081.5467573696146;22050.0
Strauss;orchestra;RWC;RWC/RM-C010.wav;-1.0;-1.0;462.14675736961453;22050.0
Bach;orchestra;RWC;RWC/RM-C012.wav;-1.0;-1.0;387.4667573696145;22050.0
Mozart;orchestra;RWC;RWC/RM-C013.wav;-1.0;-1.0;510.04009070294785;22050.0
Beethoven;orchestra;RWC;RWC/RM-C014.wav;-1.0;-1.0;397.7467573696145;22050.0
Borodin;orchestra;RWC;RWC/RM-C015.wav;-1.0;-1.0;463.58675736961453;22050.0
Mozart;orchestra;RWC;RWC/RM-C016.wav;-1.0;-1.0;545.9200907029478;22050.0
Brahms;orchestra;RWC;RWC/RM-C017.wav;-1.0;-1.0;297.0934240362812;22050.0
Bach;orchestra;RWC;RWC/RM-C036.wav;-1.0;-1.0;212.06675736961452;22050.0
Paganini;orchestra;RWC;RWC/RM-C038.wav;-1.0;-1.0;321.1734240362812;22050.0
Bach;orchestra;RWC;RWC/RM-C041.wav;-1.0;-1.0;159.4667573696145;22050.0
