composer;type;dataset;wav_filename;start;end;duration;sample_rate
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No23/03LcxOenWMbt400000183.wav;0.534059;178.872018;183.3270068027211;44100.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No34/02pAr3iOiahG000000069.wav;1.056508;65.779229;69.12;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No16/03uMiYDRvBSmw00000122.wav;0.397642;117.588753;121.848;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No16/02mQ6nq4vhTmg00000120.wav;1.056508;117.59746;120.168;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No11/03ESF5LlnLBP000000238.wav;0.676281;233.546304;238.032;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No11/0277jU4dNcYRY00000242.wav;1.065215;239.995646;242.28;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No05/032FrKPh7sEpQ00000153.wav;0.513741;149.333333;152.808;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No05/02UAzuD0CP-Vo00000103.wav;1.09424;99.186939;103.2;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No29/03Lav9dPzkuWc00000195.wav;0.435374;190.394921;194.616;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No29/02JJLu0efglv800000178.wav;1.056508;176.042086;178.224;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No07/03O_y5MRYU38c00000176.wav;0.487619;171.685442;175.632;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No07/02ZjqUy-RfVcU00000087.wav;1.166803;84.825397;87.192;48000.0
Dancla;orchestra;ViolinEtudesOriginal;ViolinEtudes/original/DanclaOp84/No35/03ILof8MXF__w00000106.wav;0.496327;101.07356;105.816;48000.0
