composer;type;dataset;wav_filename;start;end;duration;sample_rate
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No23/03LcxOenWMbt400000183_tar.wav;0.534059;178.872018;183.3270068027211;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No23/02RCgb_V7sMcg00000158_tar.wav;1.068118;156.273197;158.208;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No02/02Lmzo1Kg18eU00000132_tar.wav;0.142222;130.191383;132.216;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No02/03zVKHvivybPg00000197_tar.wav;0.446984;191.268571;196.8;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No27/03ZGvtDfLbxB000000156_tar.wav;0.525351;151.077732;155.64;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No27/02O8ymiso0seM00000114_tar.wav;1.100045;111.374512;114.144;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No21/02rgWYU8H8mSc00000024_tar.wav;1.056508;22.270839;24.072;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No21/03pgNnkL3by0800000080_tar.wav;0.925896;76.814512;80.352;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No21/02AUtMf2D2axU00000058_tar.wav;1.065215;55.910748;58.104;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No10/032iEvub4erZM00000098_tar.wav;0.696599;93.927619;98.04;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No33/03-OyJLWbNT8Q00000145_tar.wav;0.478912;139.897324;144.696;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No33/02sPyuTE5YOzI00000111_tar.wav;1.056508;108.025034;111.144;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No23/03poq5OAdjfhQ00000160_tar.wav;0.536961;156.003265;160.464;22050.0
Dancla;orchestra;ViolinEtudesSync;ViolinEtudes/sync/DanclaOp84/No09/035j9Nh_30fQ800000177_tar.wav;0.725624;172.535873;176.784;22050.0
