composer;type;dataset;wav_filename;start;end;duration;sample_rate
Brahms;piano;RWC;RWC/RM-C022.wav;-1.0;-1.0;145.28009070294786;22050.0
Ravel;piano;RWC;RWC/RM-C023A.wav;-1.0;-1.0;80.22675736961452;22050.0
Ravel;piano;RWC;RWC/RM-C023B.wav;-1.0;-1.0;165.34675736961452;22050.0
Ravel;piano;RWC;RWC/RM-C023C.wav;-1.0;-1.0;205.0267573696145;22050.0
Ravel;piano;RWC;RWC/RM-C023D.wav;-1.0;-1.0;249.1067573696145;22050.0
Ravel;piano;RWC;RWC/RM-C023E.wav;-1.0;-1.0;170.00009070294786;22050.0
Mozart;piano;RWC;RWC/RM-C026.wav;-1.0;-1.0;600.4800907029478;22050.0
Mozart;piano;RWC;RWC/RM-C027.wav;-1.0;-1.0;447.96009070294787;22050.0
Beethoven;piano;RWC;RWC/RM-C028.wav;-1.0;-1.0;590.2400907029479;22050.0
Schumann;piano;RWC;RWC/RM-C029.wav;-1.0;-1.0;145.12009070294783;22050.0
Chopin;piano;RWC;RWC/RM-C030.wav;-1.0;-1.0;242.90675736961452;22050.0
Chopin;piano;RWC;RWC/RM-C031.wav;-1.0;-1.0;256.36009070294784;22050.0
Chopin;piano;RWC;RWC/RM-C032.wav;-1.0;-1.0;109.69342403628117;22050.0
Chopin;piano;RWC;RWC/RM-C033.wav;-1.0;-1.0;405.3867573696145;22050.0
Liszt;piano;RWC;RWC/RM-C034.wav;-1.0;-1.0;309.13342403628116;22050.0
Satie;piano;RWC;RWC/RM-C035A.wav;-1.0;-1.0;229.2534240362812;22050.0
Satie;piano;RWC;RWC/RM-C035B.wav;-1.0;-1.0;181.4267573696145;22050.0
Satie;piano;RWC;RWC/RM-C035C.wav;-1.0;-1.0;166.32009070294785;22050.0
